pilotId,targetId,pilotName,shipId,faction,currentStatus,selectedAssetId,selectedRepositoryPath,decision,notes
PILOT-9F19E7E69203,majorstridan,Major Stridan,upsilonclassshuttle,firstorder,missing,,,,
PILOT-4F7FCC996CCB,lowhhrick,Lowhhrick,auzituckgunship,rebelalliance,missing,,,,
PILOT-AF7029FD12A1,wullffwarro,Wullffwarro,auzituckgunship,rebelalliance,missing,,,,
PILOT-C1CD7D44A8EF,magvayarro,Magva Yarro,uwing,rebelalliance,approve,,assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__9206d67cb1951531.png,,
PILOT-4D5D323202E6,genesisred,Genesis Red,m3ainterceptor,scumandvillainy,missing,,,,
PILOT-13EC6BA835CC,firstordertestpilot,First Order Test Pilot,tiesilencer,firstorder,approve,AST-748E59F350CFCB40,assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__9d1653feddb3d6be.png,,
PILOT-9AF4734CA538,kyloren,Kylo Ren,tiesilencer,firstorder,approve,AST-F7615091702AC01E,assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__5da59378b7d9f2a3.png,,
PILOT-A0F3DB878B53,lieutenantkarsabi,Lieutenant Karsabi,alphaclassstarwing,galacticempire,approve,AST-1526AB5322C2D6C2,assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__a2255d00c6c09113.jpg,,
PILOT-E36B6ADA5CD4,majorvynder,Major Vynder,alphaclassstarwing,galacticempire,approve,AST-3C219D1E02E42F0E,assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__f60079774097c6e1.jpg,,
PILOT-3C9E6338EBC2,nusquadronpilot,Nu Squadron Pilot,alphaclassstarwing,galacticempire,approve,AST-AC767F2762A1CA26,assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__8865722a5fd3eea8.jpg,,
PILOT-D3947C6F77DF,maarekstele,Maarek Stele,tieadvanced,galacticempire,approve,AST-725809CC38366F0F,assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__6e97d1e9c3fe2186.jpg,,
PILOT-919CB508CC2A,zeborrelios,"""Zeb"" Orrelios",attackshuttle,rebelalliance,approve,AST-76196BFC64DA12C8,assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__27a89001f714f298.jpg,,
PILOT-5158A0D06CE9,sabinewren,Sabine Wren,attackshuttle,rebelalliance,approve,AST-1B67CA60C0F16693,assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__5ecaf2bd7f8d7b76.jpg,,
PILOT-6252CB094EFA,zeborrelios,"""Zeb"" Orrelios",sheathipedeclassshuttle,rebelalliance,approve,AST-1E399FB660D9892E,assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__4267f6573a9e0524.jpg,,
PILOT-24EED7FB9599,ap5,AP-5,sheathipedeclassshuttle,rebelalliance,approve,AST-07EEAAA7DDD3D1A5,assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__1ce28bfa8588d1c0.jpg,,
PILOT-A1FB4CD13D43,ezrabridger,Ezra Bridger,sheathipedeclassshuttle,rebelalliance,approve,AST-D7A7DDE679A90B2C,assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__b50b1b6db57105a6.jpg,,
PILOT-6736E13C64B7,fennrau,Fenn Rau,sheathipedeclassshuttle,rebelalliance,approve,AST-C837BBD433F583B9,assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__a6af41a30fdc15ee.jpg,,
PILOT-6A68ADF29BDA,zeborrelios,"""Zeb"" Orrelios",tiefighter,rebelalliance,approve,AST-EF97AAF7DCC92D4B,assets/source/legacy1e/steamusercontent-a.akamaihd.net/other/asset__b80f8b192eeb9801.png,,
PILOT-C280AC2074B3,captainrex,Captain Rex,tiefighter,rebelalliance,approve,AST-5DA22F1CFBC354E3,assets/source/legacy1e/steamusercontent-a.akamaihd.net/other/asset__1248f3c878f1f0a5.png,,
PILOT-FE8EB2DFD9A2,sabinewren,Sabine Wren,tiefighter,rebelalliance,approve,AST-B7D4449B661A705F,assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__816196eb61b9f0d0.png,,
PILOT-37807F1567D3,poedameron,Poe Dameron,t70xwing,resistance,approve,AST-7BE44DA9143B525E,assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__8effc513fca46c17.png,,
PILOT-6F908E59D57F,poedameron-swx57,Poe Dameron,t70xwing,resistance,approve,AST-4B6201160A863C5A,assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__bf4b5787efe937b3.png,,
PILOT-8A5CA1DCCBEA,bobafett,Boba Fett,firespray31,scumandvillainy,approve,AST-0B50322807EA931F,assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__6ea7c985873a0654.jpg,,
PILOT-020CE92F238A,kathscarlet,Kath Scarlet,firespray31,scumandvillainy,approve,AST-65E80DE1F1AFA074,assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__82ba063d7c019215.jpg,,
PILOT-47BE7DD4C303,blacksunace,Black Sun Ace,kihraxzfighter,scumandvillainy,approve,AST-08A72E2763F8E1AB,assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__6dda404247201f0c.png,,
PILOT-2BF2DAE8F20E,captainjostero,Captain Jostero,kihraxzfighter,scumandvillainy,approve,AST-11B92D15828B797B,assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__530db44fdeb67130.png,,
PILOT-18166CD2AACD,cartelmarauder,Cartel Marauder,kihraxzfighter,scumandvillainy,approve,AST-A259921069112946,assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__c8c2ec297394f8f6.png,,
PILOT-212219B823A7,talonbanecobra,Talonbane Cobra,kihraxzfighter,scumandvillainy,approve,AST-5455BD4F6FE8C4A0,assets/source/legacy1e/steamusercontent-a.akamaihd.net/other/asset__fd3611066d36b27d.png,,
PILOT-CD598BB7C3BD,sabinewren,Sabine Wren,lancerclasspursuitcraft,scumandvillainy,approve,AST-CA2813F74B7C5C61,assets/source/legacy1e/steamusercontent-a.akamaihd.net/other/asset__6399115905c4dff2.png,,
PILOT-4E5B3C6C644F,cartelexecutioner,Cartel Executioner,m12lkimogilafighter,scumandvillainy,approve,AST-1D6E641138B056B5,assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__283b62cba7623fcb.png,,
PILOT-54CD395BE440,dalanoberos,Dalan Oberos,m12lkimogilafighter,scumandvillainy,approve,AST-B91FA6B5D58FA2E9,assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__b9cca8a13d1b9614.png,,
PILOT-3D71D27165EA,toranikulda,Torani Kulda,m12lkimogilafighter,scumandvillainy,approve,AST-1765F322E8CCC419,assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__d20434c33edde0ed.png,,
PILOT-40A82A73B01F,captainnym,Captain Nym,scurrgh6bomber,scumandvillainy,approve,AST-D26C943F88D57CBF,assets/source/legacy1e/steamusercontent-a.akamaihd.net/other/asset__270c2482690a5731.png,,
PILOT-E8E9694B8D34,blacksunassassin,Black Sun Assassin,starviper,scumandvillainy,approve,AST-1E5B0686AD3BC00F,assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__69f4ecd608d361bf.png,,
PILOT-4324FB797B41,dalanoberos,Dalan Oberos,starviper,scumandvillainy,approve,AST-CB7B4374BAD1A503,assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__c9d335848f3ae246.png,,
